31;Aceto Corporation,ACET;{"symbol":"ACET","name":"Aceto Corporation","marketCap":"$448.8M","ipoYear":"n/a","sector":"Health Care","industry":"Other Pharmaceuticals"}
32;Achaogen,AKAO;{"symbol":"AKAO","name":"Achaogen, Inc.","marketCap":"$886.29M","ipoYear":"2014","sector":"Health Care","industry":"Major Pharmaceuticals"}
33;Achillion Pharmaceuticals,ACHN;{"symbol":"ACHN","name":"Achillion Pharmaceuticals, Inc.","marketCap":"$604.32M","ipoYear":"2006","sector":"Health Care","industry":"Major Pharmaceuticals"}
34;ACI Worldwide,ACIW;{"symbol":"ACIW","name":"ACI Worldwide, Inc.","marketCap":"$2.67B","ipoYear":"n/a","sector":"Technology","industry":"Computer Software: Prepackaged Software"}
35;Aclaris Therapeutics,ACRS;{"symbol":"ACRS","name":"Aclaris Therapeutics, Inc.","marketCap":"$694.8M","ipoYear":"2015","sector":"Health Care","industry":"Major Pharmaceuticals"}
36;ACNB Corporation,ACNB;{"symbol":"ACNB","name":"ACNB Corporation","marketCap":"$180.19M","ipoYear":"n/a","sector":"Finance","industry":"Major Banks"}
37;Acorda Therapeutics,ACOR;{"symbol":"ACOR","name":"Acorda Therapeutics, Inc.","marketCap":"$888.86M","ipoYear":"2006","sector":"Health Care","industry":"Biotechnology: Biological Products (No Diagnostic Substances)"}
38;Active Alts Contrarian ETF,SQZZ;{"symbol":"SQZZ","name":"Active Alts Contrarian ETF","marketCap":"n/a","ipoYear":"n/a","sector":"n/a","industry":"n/a"}
39;Activision Blizzard,ATVI;{"symbol":"ATVI","name":"Activision Blizzard, Inc","marketCap":"$43.93B","ipoYear":"n/a","sector":"Technology","industry":"Computer Software: Prepackaged Software"}
40;Actua Corporation,ACTA;{"symbol":"ACTA","name":"Actua Corporation","marketCap":"$470.33M","ipoYear":"n/a","sector":"Technology","industry":"EDP Services"}
41;Acxiom Corporation,ACXM;{"symbol":"ACXM","name":"Acxiom Corporation","marketCap":"$2.07B","ipoYear":"n/a","sector":"Technology","industry":"EDP Services"}
42;Adamas Pharmaceuticals,ADMS;{"symbol":"ADMS","name":"Adamas Pharmaceuticals, Inc.","marketCap":"$377.43M","ipoYear":"2014","sector":"Health Care","industry":"Major Pharmaceuticals"}
43;Adamis Pharmaceuticals Corporation,ADMP;{"symbol":"ADMP","name":"Adamis Pharmaceuticals Corporation","marketCap":"$137.82M","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
44;Adaptimmune Therapeutics plc,ADAP;{"symbol":"ADAP","name":"Adaptimmune Therapeutics plc","marketCap":"$438.56M","ipoYear":"2015","sector":"Health Care","industry":"Biotechnology: Biological Products (No Diagnostic Substances)"}
45;Addus HomeCare Corporation,ADUS;{"symbol":"ADUS","name":"Addus HomeCare Corporation","marketCap":"$450.8M","ipoYear":"2009","sector":"Health Care","industry":"Medical/Nursing Services"}
46;ADDvantage Technologies Group,AEY;{"symbol":"AEY","name":"ADDvantage Technologies Group, Inc.","marketCap":"$16.39M","ipoYear":"n/a","sector":"Consumer Services","industry":"Office Equipment/Supplies/Services"}
47;Adesto Technologies Corporation,IOTS;{"symbol":"IOTS","name":"Adesto Technologies Corporation","marketCap":"$72.07M","ipoYear":"2015","sector":"Technology","industry":"Semiconductors"}
48;ADMA Biologics,ADMA;{"symbol":"ADMA","name":"ADMA Biologics Inc","marketCap":"$52.32M","ipoYear":"n/a","sector":"Health Care","industry":"Biotechnology: Biological Products (No Diagnostic Substances)"}
49;Adobe Systemsorporated,ADBE;{"symbol":"ADBE","name":"Adobe Systems Incorporated","marketCap":"$70.51B","ipoYear":"1986","sector":"Technology","industry":"Computer Software: Prepackaged Software"}
50;ADOMANI,ADOM;{"symbol":"ADOM","name":"ADOMANI, Inc.","marketCap":"$760.08M","ipoYear":"2017","sector":"Capital Goods","industry":"Auto Parts:O.E.M."}
51;ADTRAN,ADTN;{"symbol":"ADTN","name":"ADTRAN, Inc.","marketCap":"$968.89M","ipoYear":"1994","sector":"Public Utilities","industry":"Telecommunications Equipment"}
52;Aduro Biotech,ADRO;{"symbol":"ADRO","name":"Aduro Biotech, Inc.","marketCap":"$765.55M","ipoYear":"2015","sector":"Health Care","industry":"Major Pharmaceuticals"}
53;Advanced Accelerator Applications S.A.,AAAP;{"symbol":"AAAP","name":"Advanced Accelerator Applications S.A.","marketCap":"$1.66B","ipoYear":"2015","sector":"Health Care","industry":"Major Pharmaceuticals"}
54;Advanced Emissions Solutions,ADES;{"symbol":"ADES","name":"Advanced Emissions Solutions, Inc.","marketCap":"$197.75M","ipoYear":"n/a","sector":"Basic Industries","industry":"Major Chemicals"}
55;Advanced Energy Industries,AEIS;{"symbol":"AEIS","name":"Advanced Energy Industries, Inc.","marketCap":"$2.62B","ipoYear":"1995","sector":"Capital Goods","industry":"Industrial Machinery/Components"}
56;Advanced Micro Devices,AMD;{"symbol":"AMD","name":"Advanced Micro Devices, Inc.","marketCap":"$12.66B","ipoYear":"n/a","sector":"Technology","industry":"Semiconductors"}
57;Advaxis,ADXS;{"symbol":"ADXS","name":"Advaxis, Inc.","marketCap":"$260.18M","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
58;Advaxis,ADXSW;{"symbol":"ADXSW","name":"Advaxis, Inc.","marketCap":"n/a","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
59;Adverum Biotechnologies,ADVM;{"symbol":"ADVM","name":"Adverum Biotechnologies, Inc.","marketCap":"$115.75M","ipoYear":"2014","sector":"Health Care","industry":"Biotechnology: Biological Products (No Diagnostic Substances)"}
60;Aegion Corp,AEGN;{"symbol":"AEGN","name":"Aegion Corp","marketCap":"$710.35M","ipoYear":"n/a","sector":"Basic Industries","industry":"Water Supply"}
61;Aeglea BioTherapeutics,AGLE;{"symbol":"AGLE","name":"Aeglea BioTherapeutics, Inc.","marketCap":"$52.06M","ipoYear":"2016","sector":"Health Care","industry":"Major Pharmaceuticals"}
62;Aehr Test Systems,AEHR;{"symbol":"AEHR","name":"Aehr Test Systems","marketCap":"$83.56M","ipoYear":"1997","sector":"Capital Goods","industry":"Electrical Products"}
63;Aemetis,AMTX;{"symbol":"AMTX","name":"Aemetis, Inc","marketCap":"$27.38M","ipoYear":"n/a","sector":"Basic Industries","industry":"Major Chemicals"}
64;Aerie Pharmaceuticals,AERI;{"symbol":"AERI","name":"Aerie Pharmaceuticals, Inc.","marketCap":"$1.88B","ipoYear":"2013","sector":"Health Care","industry":"Biotechnology: Biological Products (No Diagnostic Substances)"}
65;AeroVironment,AVAV;{"symbol":"AVAV","name":"AeroVironment, Inc.","marketCap":"$762.06M","ipoYear":"2007","sector":"Capital Goods","industry":"Aerospace"}
66;AEterna Zentaris,AEZS;{"symbol":"AEZS","name":"AEterna Zentaris Inc.","marketCap":"$14.32M","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
67;Aethlon Medical,AEMD;{"symbol":"AEMD","name":"Aethlon Medical, Inc.","marketCap":"$18.91M","ipoYear":"n/a","sector":"Capital Goods","industry":"Biotechnology: Laboratory Analytical Instruments"}
68;Aevi Genomic Medicine,GNMX;{"symbol":"GNMX","name":"Aevi Genomic Medicine, Inc.","marketCap":"$51.21M","ipoYear":"n/a","sector":"Health Care","industry":"Biotechnology: Biological Products (No Diagnostic Substances)"}
69;Affimed N.V.,AFMD;{"symbol":"AFMD","name":"Affimed N.V.","marketCap":"$92.27M","ipoYear":"2014","sector":"Health Care","industry":"Major Pharmaceuticals"}
70;Agenus,AGEN;{"symbol":"AGEN","name":"Agenus Inc.","marketCap":"$389.54M","ipoYear":"2000","sector":"Health Care","industry":"Biotechnology: Biological Products (No Diagnostic Substances)"}
71;Agile Therapeutics,AGRX;{"symbol":"AGRX","name":"Agile Therapeutics, Inc.","marketCap":"$111.19M","ipoYear":"2014","sector":"Health Care","industry":"Major Pharmaceuticals"}
72;Agilysys,AGYS;{"symbol":"AGYS","name":"Agilysys, Inc.","marketCap":"$230.74M","ipoYear":"n/a","sector":"Technology","industry":"EDP Services"}
73;Agios Pharmaceuticals,AGIO;{"symbol":"AGIO","name":"Agios Pharmaceuticals, Inc.","marketCap":"$2.49B","ipoYear":"2013","sector":"Health Care","industry":"Major Pharmaceuticals"}
74;AGNC Investment Corp.,AGNC;{"symbol":"AGNC","name":"AGNC Investment Corp.","marketCap":"$7.18B","ipoYear":"2008","sector":"Consumer Services","industry":"Real Estate Investment Trusts"}
